date	ouv	haut	bas	clot	vol	devise	
25/06/2019 00:00	0.666	0.668	0.664	0.668	0	EUR	
26/06/2019 00:00	0.668	0.671	0.667	0.67	0	EUR	
27/06/2019 00:00	0.67	0.672	0.669	0.671	0	EUR	
28/06/2019 00:00	0.67	0.673	0.669	0.669	0	EUR	
01/07/2019 00:00	0.669	0.675	0.669	0.674	0	EUR	
02/07/2019 00:00	0.674	0.676	0.674	0.676	0	EUR	
03/07/2019 00:00	0.676	0.679	0.675	0.679	0	EUR	
04/07/2019 00:00	0.679	0.68	0.677	0.679	0	EUR	
05/07/2019 00:00	0.679	0.682	0.678	0.68	0	EUR	
08/07/2019 00:00	0.68	0.683	0.68	0.681	0	EUR	
09/07/2019 00:00	0.681	0.681	0.679	0.679	0	EUR	
10/07/2019 00:00	0.68	0.68	0.677	0.679	0	EUR	
11/07/2019 00:00	0.679	0.681	0.679	0.68	0	EUR	
12/07/2019 00:00	0.68	0.682	0.679	0.679	0	EUR	
15/07/2019 00:00	0.679	0.682	0.679	0.681	0	EUR	
16/07/2019 00:00	0.681	0.685	0.68	0.682	0	EUR	
17/07/2019 00:00	0.682	0.683	0.681	0.682	0	EUR	
18/07/2019 00:00	0.682	0.683	0.68	0.68	0	EUR	
19/07/2019 00:00	0.681	0.683	0.68	0.681	0	EUR	
22/07/2019 00:00	0.681	0.684	0.679	0.68	0	EUR	
23/07/2019 00:00	0.68	0.683	0.679	0.682	0	EUR	
24/07/2019 00:00	0.683	0.684	0.682	0.683	0	EUR	
25/07/2019 00:00	0.683	0.686	0.68	0.682	0	EUR	
26/07/2019 00:00	0.681	0.683	0.68	0.68	0	EUR	
29/07/2019 00:00	0.68	0.684	0.68	0.682	0	EUR	
30/07/2019 00:00	0.682	0.682	0.68	0.681	0	EUR	
31/07/2019 00:00	0.682	0.685	0.681	0.685	0	EUR	
01/08/2019 00:00	0.685	0.686	0.681	0.683	0	EUR	
02/08/2019 00:00	0.683	0.683	0.679	0.679	0	EUR	
05/08/2019 00:00	0.679	0.682	0.675	0.676	0	EUR	
06/08/2019 00:00	0.675	0.677	0.672	0.672	0	EUR	
07/08/2019 00:00	0.672	0.673	0.667	0.671	0	EUR	
08/08/2019 00:00	0.671	0.676	0.67	0.675	0	EUR	
09/08/2019 00:00	0.675	0.676	0.666	0.666	0	EUR	
12/08/2019 00:00	0.666	0.677	0.666	0.673	0	EUR	
13/08/2019 00:00	0.673	0.678	0.67	0.677	0	EUR	
14/08/2019 00:00	0.677	0.677	0.672	0.674	0	EUR	
15/08/2019 00:00	0.674	0.677	0.672	0.676	0	EUR	
16/08/2019 00:00	0.676	0.68	0.676	0.679	0	EUR	
19/08/2019 00:00	0.679	0.68	0.676	0.677	0	EUR	
20/08/2019 00:00	0.677	0.678	0.676	0.677	0	EUR	
21/08/2019 00:00	0.676	0.68	0.676	0.679	0	EUR	
22/08/2019 00:00	0.679	0.68	0.677	0.678	0	EUR	
23/08/2019 00:00	0.679	0.679	0.667	0.667	0	EUR	
26/08/2019 00:00	0.667	0.68	0.667	0.679	0	EUR	
27/08/2019 00:00	0.68	0.681	0.678	0.679	0	EUR	
28/08/2019 00:00	0.679	0.68	0.677	0.678	0	EUR	
29/08/2019 00:00	0.678	0.683	0.677	0.68	0	EUR	
30/08/2019 00:00	0.681	0.685	0.68	0.68	0	EUR	
02/09/2019 00:00	0.68	0.685	0.68	0.684	0	EUR	
03/09/2019 00:00	0.684	0.686	0.682	0.683	0	EUR	
04/09/2019 00:00	0.683	0.686	0.681	0.685	0	EUR	
05/09/2019 00:00	0.685	0.687	0.683	0.685	0	EUR	
06/09/2019 00:00	0.685	0.689	0.682	0.682	0	EUR	
09/09/2019 00:00	0.682	0.69	0.682	0.687	0	EUR	
10/09/2019 00:00	0.687	0.69	0.686	0.689	0	EUR	
11/09/2019 00:00	0.689	0.692	0.688	0.689	0	EUR	
12/09/2019 00:00	0.688	0.693	0.683	0.684	0	EUR	
13/09/2019 00:00	0.688	0.685	0.674	0.674	0	EUR	
16/09/2019 00:00	0.674	0.687	0.674	0.687	0	EUR	
17/09/2019 00:00	0.687	0.687	0.681	0.682	0	EUR	
18/09/2019 00:00	0.682	0.683	0.68	0.682	0	EUR	
19/09/2019 00:00	0.682	0.684	0.68	0.683	0	EUR	
20/09/2019 00:00	0.682	0.685	0.681	0.684	0	EUR	
23/09/2019 00:00	0.684	0.687	0.683	0.686	0	EUR	
24/09/2019 00:00	0.686	0.687	0.685	0.686	0	EUR	
25/09/2019 00:00	0.686	0.69	0.685	0.689	0	EUR	
