date	ouv	haut	bas	clot	vol	devise	
25/06/2019 00:00	0.903	0.904	0.899	0.902	0	EUR	
26/06/2019 00:00	0.902	0.903	0.899	0.899	0	EUR	
27/06/2019 00:00	0.899	0.901	0.897	0.901	0	EUR	
28/06/2019 00:00	0.899	0.902	0.899	0.899	0	EUR	
01/07/2019 00:00	0.899	0.899	0.896	0.897	0	EUR	
02/07/2019 00:00	0.897	0.899	0.895	0.898	0	EUR	
03/07/2019 00:00	0.898	0.9	0.898	0.899	0	EUR	
04/07/2019 00:00	0.898	0.9	0.898	0.9	0	EUR	
05/07/2019 00:00	0.9	0.9	0.896	0.897	0	EUR	
08/07/2019 00:00	0.897	0.9	0.896	0.897	0	EUR	
09/07/2019 00:00	0.897	0.899	0.896	0.898	0	EUR	
10/07/2019 00:00	0.898	0.899	0.897	0.898	0	EUR	
11/07/2019 00:00	0.898	0.9	0.897	0.898	0	EUR	
12/07/2019 00:00	0.898	0.903	0.896	0.9	0	EUR	
15/07/2019 00:00	0.9	0.904	0.9	0.902	0	EUR	
16/07/2019 00:00	0.902	0.904	0.901	0.903	0	EUR	
17/07/2019 00:00	0.903	0.904	0.9	0.902	0	EUR	
18/07/2019 00:00	0.903	0.904	0.902	0.903	0	EUR	
19/07/2019 00:00	0.904	0.908	0.902	0.907	0	EUR	
22/07/2019 00:00	0.907	0.91	0.906	0.908	0	EUR	
23/07/2019 00:00	0.908	0.912	0.907	0.91	0	EUR	
24/07/2019 00:00	0.91	0.912	0.909	0.911	0	EUR	
25/07/2019 00:00	0.912	0.912	0.905	0.905	0	EUR	
26/07/2019 00:00	0.905	0.906	0.903	0.903	0	EUR	
29/07/2019 00:00	0.903	0.907	0.903	0.905	0	EUR	
30/07/2019 00:00	0.905	0.907	0.904	0.905	0	EUR	
31/07/2019 00:00	0.905	0.909	0.904	0.909	0	EUR	
01/08/2019 00:00	0.909	0.912	0.907	0.912	0	EUR	
02/08/2019 00:00	0.911	0.917	0.911	0.915	0	EUR	
05/08/2019 00:00	0.915	0.921	0.915	0.917	0	EUR	
06/08/2019 00:00	0.917	0.918	0.913	0.914	0	EUR	
07/08/2019 00:00	0.915	0.918	0.912	0.916	0	EUR	
08/08/2019 00:00	0.916	0.918	0.913	0.918	0	EUR	
09/08/2019 00:00	0.917	0.919	0.91	0.91	0	EUR	
