date	ouv	haut	bas	clot	vol	devise	
25/06/2019 00:00	1.117	1.122	1.115	1.116	0		
26/06/2019 00:00	1.117	1.119	1.114	1.116	0		
27/06/2019 00:00	1.116	1.12	1.113	1.114	0		
28/06/2019 00:00	1.116	1.119	1.112	1.115	0		
01/07/2019 00:00	1.117	1.121	1.114	1.12	0		
02/07/2019 00:00	1.12	1.121	1.114	1.115	0		
03/07/2019 00:00	1.115	1.116	1.112	1.115	0		
04/07/2019 00:00	1.115	1.117	1.113	1.114	0		
05/07/2019 00:00	1.114	1.116	1.113	1.114	0		
08/07/2019 00:00	1.116	1.117	1.114	1.116	0		
09/07/2019 00:00	1.116	1.116	1.111	1.112	0		
10/07/2019 00:00	1.112	1.113	1.11	1.112	0		
11/07/2019 00:00	1.112	1.115	1.11	1.113	0		
12/07/2019 00:00	1.113	1.117	1.112	1.113	0		
15/07/2019 00:00	1.115	1.116	1.111	1.112	0		
16/07/2019 00:00	1.112	1.117	1.105	1.107	0		
17/07/2019 00:00	1.106	1.109	1.105	1.107	0		
18/07/2019 00:00	1.107	1.114	1.106	1.113	0		
19/07/2019 00:00	1.113	1.116	1.111	1.112	0		
22/07/2019 00:00	1.115	1.116	1.111	1.113	0		
23/07/2019 00:00	1.113	1.117	1.11	1.115	0		
24/07/2019 00:00	1.116	1.123	1.115	1.12	0		
25/07/2019 00:00	1.12	1.126	1.116	1.117	0		
26/07/2019 00:00	1.117	1.119	1.11	1.11	0		
29/07/2019 00:00	1.112	1.113	1.096	1.096	0		
30/07/2019 00:00	1.096	1.097	1.086	1.089	0		
31/07/2019 00:00	1.089	1.1	1.089	1.098	0		
01/08/2019 00:00	1.098	1.099	1.093	1.093	0		
02/08/2019 00:00	1.093	1.096	1.09	1.093	0		
05/08/2019 00:00	1.094	1.095	1.083	1.084	0		
06/08/2019 00:00	1.084	1.092	1.081	1.086	0		
07/08/2019 00:00	1.087	1.088	1.081	1.084	0		
08/08/2019 00:00	1.084	1.086	1.079	1.085	0		
09/08/2019 00:00	1.085	1.086	1.064	1.064	0		
12/08/2019 00:00	1.075	1.081	1.072	1.077	0		
13/08/2019 00:00	1.077	1.082	1.076	1.08	0		
14/08/2019 00:00	1.08	1.084	1.077	1.082	0		
15/08/2019 00:00	1.083	1.092	1.081	1.088	0		
16/08/2019 00:00	1.088	1.1	1.088	1.095	0		
19/08/2019 00:00	1.095	1.097	1.091	1.095	0		
20/08/2019 00:00	1.095	1.099	1.089	1.096	0		
21/08/2019 00:00	1.096	1.097	1.091	1.094	0		
22/08/2019 00:00	1.094	1.108	1.092	1.106	0		
23/08/2019 00:00	1.106	1.107	1.092	1.092	0		
26/08/2019 00:00	1.101	1.103	1.098	1.101	0		
27/08/2019 00:00	1.101	1.109	1.099	1.108	0		
28/08/2019 00:00	1.108	1.108	1.096	1.102	0		
29/08/2019 00:00	1.102	1.105	1.1	1.102	0		
30/08/2019 00:00	1.102	1.109	1.101	1.104	0		
02/09/2019 00:00	1.106	1.108	1.098	1.1	0		
03/09/2019 00:00	1.1	1.105	1.093	1.101	0		
04/09/2019 00:00	1.101	1.111	1.101	1.11	0		
05/09/2019 00:00	1.11	1.118	1.107	1.117	0		
06/09/2019 00:00	1.11	1.118	1.103	1.103	0		
09/09/2019 00:00	1.114	1.123	1.109	1.118	0		
10/09/2019 00:00	1.118	1.121	1.114	1.118	0		
11/09/2019 00:00	1.118	1.123	1.117	1.12	0		
12/09/2019 00:00	1.12	1.125	1.114	1.115	0		
13/09/2019 00:00	1.115	1.129	1.114	1.121	0		
16/09/2019 00:00	1.129	1.13	1.123	1.13	0		
17/09/2019 00:00	1.13	1.131	1.125	1.129	0		
18/09/2019 00:00	1.129	1.134	1.126	1.13	0		
19/09/2019 00:00	1.131	1.136	1.124	1.135	0		
20/09/2019 00:00	1.131	1.138	1.13	1.132	0		
23/09/2019 00:00	1.132	1.134	1.127	1.131	0		
24/09/2019 00:00	1.131	1.136	1.128	1.134	0		
25/09/2019 00:00	1.133	1.135	1.126	1.129	0		
26/09/2019 00:00	1.129	1.131	1.125	1.129	0		
27/09/2019 00:00	1.129	1.13	1.123	1.123	0		
30/09/2019 00:00	1.122	1.132	1.122	1.128	0		
01/10/2019 00:00	1.128	1.13	1.119	1.124	0		
02/10/2019 00:00	1.125	1.128	1.116	1.122	0		
03/10/2019 00:00	1.122	1.13	1.121	1.125	0		
04/10/2019 00:00	1.125	1.128	1.119	1.124	0		
07/10/2019 00:00	1.122	1.123	1.12	1.12	0		
08/10/2019 00:00	1.12	1.121	1.111	1.116	0		
09/10/2019 00:00	1.115	1.119	1.111	1.113	0		
10/10/2019 00:00	1.113	1.133	1.109	1.13	0		
11/10/2019 00:00	1.13	1.15	1.126	1.146	0		
14/10/2019 00:00	1.145	1.148	1.135	1.146	0		
15/10/2019 00:00	1.146	1.159	1.143	1.157	0		
16/10/2019 00:00	1.157	1.163	1.147	1.158	0		
17/10/2019 00:00	1.158	1.166	1.149	1.159	0		
18/10/2019 00:00	1.159	1.163	1.154	1.161	0		
21/10/2019 00:00	1.158	1.166	1.155	1.163	0		
22/10/2019 00:00	1.163	1.166	1.148	1.157	0		
23/10/2019 00:00	1.157	1.161	1.155	1.16	0		
24/10/2019 00:00	1.16	1.166	1.152	1.157	0		
25/10/2019 00:00	1.157	1.159	1.152	1.158	0		
28/10/2019 00:00	1.158	1.161	1.156	1.159	0		
29/10/2019 00:00	1.158	1.162	1.156	1.158	0		
30/10/2019 00:00	1.158	1.161	1.153	1.157	0		
31/10/2019 00:00	1.157	1.163	1.157	1.16	0		
01/11/2019 00:00	1.16	1.163	1.156	1.156	0		
04/11/2019 00:00	1.158	1.163	1.156	1.158	0		
05/11/2019 00:00	1.158	1.165	1.157	1.163	0		
06/11/2019 00:00	1.163	1.166	1.16	1.161	0		
07/11/2019 00:00	1.162	1.163	1.155	1.16	0		
08/11/2019 00:00	1.16	1.163	1.159	1.16	0		
11/11/2019 00:00	1.161	1.169	1.16	1.165	0		
12/11/2019 00:00	1.165	1.171	1.159	1.167	0		
13/11/2019 00:00	1.167	1.169	1.164	1.168	0		
14/11/2019 00:00	1.168	1.17	1.165	1.169	0		
15/11/2019 00:00	1.169	1.17	1.166	1.168	0		
18/11/2019 00:00	1.169	1.174	1.168	1.17	0		
19/11/2019 00:00	1.17	1.171	1.165	1.167	0		
20/11/2019 00:00	1.167	1.169	1.165	1.167	0		
21/11/2019 00:00	1.167	1.17	1.165	1.167	0		
22/11/2019 00:00	1.167	1.168	1.162	1.164	0		
25/11/2019 00:00	1.166	1.173	1.163	1.171	0		
26/11/2019 00:00	1.171	1.172	1.165	1.167	0		
27/11/2019 00:00	1.167	1.177	1.165	1.176	0		
28/11/2019 00:00	1.176	1.177	1.172	1.173	0		
29/11/2019 00:00	1.173	1.175	1.171	1.174	0		
02/12/2019 00:00	1.172	1.174	1.166	1.168	0		
03/12/2019 00:00	1.169	1.175	1.167	1.173	0		
04/12/2019 00:00	1.173	1.183	1.172	1.183	0		
05/12/2019 00:00	1.183	1.186	1.182	1.185	0		
06/12/2019 00:00	1.185	1.189	1.181	1.187	0		
09/12/2019 00:00	1.188	1.191	1.187	1.187	0		
10/12/2019 00:00	1.187	1.191	1.181	1.183	0		
11/12/2019 00:00	1.183	1.189	1.182	1.185	0		
12/12/2019 00:00	1.185	1.208	1.175	1.208	0		
13/12/2019 00:00	1.203	1.208	1.192	1.199	0		
16/12/2019 00:00	1.2	1.205	1.195	1.195	0		
17/12/2019 00:00	1.194	1.195	1.175	1.177	0		
18/12/2019 00:00	1.177	1.18	1.171	1.177	0		
19/12/2019 00:00	1.177	1.18	1.169	1.169	0		
20/12/2019 00:00	1.169	1.18	1.169	1.174	0		
23/12/2019 00:00	1.174	1.176	1.164	1.167	0		
24/12/2019 00:00	1.167	1.171	1.165	1.166	0		
27/12/2019 00:00	1.167	1.175	1.166	1.171	0		
30/12/2019 00:00	1.172	1.175	1.169	1.171	0		
31/12/2019 00:00	1.172	1.183	1.17	1.182	0		
02/01/2020 00:00	1.181	1.182	1.177	1.18	0		
03/01/2020 00:00	1.175	1.176	1.171	1.172	0		
06/01/2020 00:00	1.171	1.178	1.17	1.176	0		
07/01/2020 00:00	1.171	1.181	1.173	1.176	0		
08/01/2020 00:00	1.178	1.183	1.174	1.179	0		
09/01/2020 00:00	1.179	1.181	1.172	1.177	0		
10/01/2020 00:00	1.177	1.179	1.174	1.175	0		
13/01/2020 00:00	1.173	1.174	1.165	1.167	0		
14/01/2020 00:00	1.167	1.171	1.163	1.17	0		
15/01/2020 00:00	1.17	1.171	1.166	1.17	0		
16/01/2020 00:00	1.17	1.175	1.168	1.174	0		
17/01/2020 00:00	1.174	1.178	1.172	1.174	0		
20/01/2020 00:00	1.172	1.174	1.169	1.172	0		
21/01/2020 00:00	1.172	1.178	1.171	1.177	0		
22/01/2020 00:00	1.177	1.187	1.176	1.184	0		
23/01/2020 00:00	1.185	1.188	1.182	1.187	0		
24/01/2020 00:00	1.187	1.192	1.184	1.186	0		
27/01/2020 00:00	1.186	1.189	1.183	1.185	0		
28/01/2020 00:00	1.185	1.186	1.179	1.182	0		
29/01/2020 00:00	1.182	1.184	1.181	1.182	0		
30/01/2020 00:00	1.182	1.189	1.178	1.186	0		
31/01/2020 00:00	1.186	1.192	1.186	1.19	0		
