date	ouv	haut	bas	clot	vol	devise	
25/06/2019 00:00	0.112	0.113	0.112	0.113	0	EUR	
26/06/2019 00:00	0.113	0.113	0.112	0.113	0	EUR	
27/06/2019 00:00	0.113	0.113	0.112	0.113	0	EUR	
28/06/2019 00:00	0.113	0.113	0.112	0.112	0	EUR	
01/07/2019 00:00	0.112	0.113	0.112	0.113	0	EUR	
02/07/2019 00:00	0.113	0.114	0.113	0.114	0	EUR	
03/07/2019 00:00	0.114	0.114	0.113	0.114	0	EUR	
04/07/2019 00:00	0.114	0.114	0.114	0.114	0	EUR	
05/07/2019 00:00	0.114	0.114	0.114	0.114	0	EUR	
08/07/2019 00:00	0.114	0.114	0.114	0.114	0	EUR	
09/07/2019 00:00	0.114	0.114	0.114	0.114	0	EUR	
10/07/2019 00:00	0.114	0.114	0.114	0.114	0	EUR	
11/07/2019 00:00	0.114	0.114	0.113	0.114	0	EUR	
12/07/2019 00:00	0.114	0.114	0.113	0.113	0	EUR	
15/07/2019 00:00	0.113	0.114	0.113	0.113	0	EUR	
16/07/2019 00:00	0.113	0.114	0.113	0.114	0	EUR	
17/07/2019 00:00	0.114	0.114	0.114	0.114	0	EUR	
18/07/2019 00:00	0.114	0.114	0.113	0.113	0	EUR	
19/07/2019 00:00	0.113	0.114	0.113	0.114	0	EUR	
22/07/2019 00:00	0.114	0.114	0.114	0.114	0	EUR	
23/07/2019 00:00	0.114	0.115	0.114	0.115	0	EUR	
24/07/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
25/07/2019 00:00	0.115	0.115	0.114	0.115	0	EUR	
26/07/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
29/07/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
30/07/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
31/07/2019 00:00	0.115	0.115	0.114	0.115	0	EUR	
01/08/2019 00:00	0.115	0.116	0.115	0.115	0	EUR	
02/08/2019 00:00	0.115	0.116	0.115	0.115	0	EUR	
05/08/2019 00:00	0.115	0.115	0.114	0.114	0	EUR	
06/08/2019 00:00	0.114	0.114	0.113	0.114	0	EUR	
07/08/2019 00:00	0.114	0.114	0.113	0.114	0	EUR	
08/08/2019 00:00	0.114	0.114	0.114	0.114	0	EUR	
09/08/2019 00:00	0.114	0.114	0.113	0.113	0	EUR	
12/08/2019 00:00	0.113	0.114	0.113	0.114	0	EUR	
13/08/2019 00:00	0.114	0.114	0.113	0.114	0	EUR	
14/08/2019 00:00	0.114	0.115	0.114	0.114	0	EUR	
15/08/2019 00:00	0.114	0.115	0.114	0.115	0	EUR	
16/08/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
19/08/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
20/08/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
21/08/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
22/08/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
23/08/2019 00:00	0.115	0.115	0.113	0.113	0	EUR	
26/08/2019 00:00	0.113	0.115	0.113	0.115	0	EUR	
27/08/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
28/08/2019 00:00	0.115	0.115	0.115	0.115	0	EUR	
29/08/2019 00:00	0.115	0.116	0.115	0.115	0	EUR	
30/08/2019 00:00	0.115	0.116	0.115	0.116	0	EUR	
02/09/2019 00:00	0.116	0.116	0.116	0.116	0	EUR	
03/09/2019 00:00	0.116	0.117	0.116	0.116	0	EUR	
04/09/2019 00:00	0.116	0.116	0.116	0.116	0	EUR	
05/09/2019 00:00	0.116	0.116	0.115	0.116	0	EUR	
06/09/2019 00:00	0.116	0.116	0.115	0.115	0	EUR	
09/09/2019 00:00	0.115	0.116	0.115	0.115	0	EUR	
10/09/2019 00:00	0.115	0.116	0.115	0.115	0	EUR	
11/09/2019 00:00	0.115	0.116	0.115	0.116	0	EUR	
12/09/2019 00:00	0.116	0.117	0.115	0.116	0	EUR	
13/09/2019 00:00	0.116	0.116	0.115	0.115	0	EUR	
16/09/2019 00:00	0.115	0.116	0.115	0.116	0	EUR	
17/09/2019 00:00	0.116	0.116	0.115	0.115	0	EUR	
18/09/2019 00:00	0.115	0.116	0.115	0.116	0	EUR	
19/09/2019 00:00	0.116	0.116	0.115	0.116	0	EUR	
20/09/2019 00:00	0.116	0.116	0.115	0.116	0	EUR	
23/09/2019 00:00	0.116	0.116	0.116	0.116	0	EUR	
24/09/2019 00:00	0.116	0.116	0.116	0.116	0	EUR	
25/09/2019 00:00	0.116	0.117	0.116	0.117	0	EUR	
26/09/2019 00:00	0.117	0.117	0.116	0.117	0	EUR	
27/09/2019 00:00	0.117	0.117	0.116	0.117	0	EUR	
30/09/2019 00:00	0.117	0.117	0.116	0.117	0	EUR	
01/10/2019 00:00	0.117	0.117	0.117	0.117	0	EUR	
02/10/2019 00:00	0.117	0.117	0.116	0.116	0	EUR	
03/10/2019 00:00	0.116	0.117	0.116	0.116	0	EUR	
04/10/2019 00:00	0.116	0.116	0.116	0.116	0	EUR	
07/10/2019 00:00	0.116	0.116	0.116	0.116	0	EUR	
08/10/2019 00:00	0.116	0.117	0.116	0.116	0	EUR	
09/10/2019 00:00	0.116	0.116	0.116	0.116	0	EUR	
10/10/2019 00:00	0.116	0.116	0.116	0.116	0	EUR	
11/10/2019 00:00	0.116	0.116	0.115	0.116	0	EUR	
14/10/2019 00:00	0.116	0.116	0.115	0.116	0	EUR	
15/10/2019 00:00	0.116	0.116	0.115	0.116	0	EUR	
16/10/2019 00:00	0.116	0.116	0.115	0.115	0	EUR	
17/10/2019 00:00	0.115	0.115	0.114	0.115	0	EUR	
18/10/2019 00:00	0.115	0.115	0.114	0.114	0	EUR	
