date	ouv	haut	bas	clot	vol	devise	
25/06/2014 00:00	0.721	0.722	0.72	0.72	0	EUR	
26/06/2014 00:00	0.72	0.725	0.72	0.722	0	EUR	
27/06/2014 00:00	0.723	0.725	0.722	0.723	0	EUR	
30/06/2014 00:00	0.723	0.724	0.721	0.721	0	EUR	
01/07/2014 00:00	0.721	0.721	0.719	0.72	0	EUR	
02/07/2014 00:00	0.72	0.722	0.719	0.72	0	EUR	
03/07/2014 00:00	0.719	0.72	0.717	0.719	0	EUR	
04/07/2014 00:00	0.719	0.722	0.719	0.72	0	EUR	
07/07/2014 00:00	0.721	0.722	0.72	0.721	0	EUR	
08/07/2014 00:00	0.721	0.724	0.721	0.723	0	EUR	
09/07/2014 00:00	0.723	0.724	0.721	0.721	0	EUR	
10/07/2014 00:00	0.721	0.727	0.721	0.725	0	EUR	
11/07/2014 00:00	0.725	0.726	0.724	0.726	0	EUR	
14/07/2014 00:00	0.725	0.726	0.722	0.723	0	EUR	
15/07/2014 00:00	0.723	0.725	0.722	0.725	0	EUR	
16/07/2014 00:00	0.725	0.727	0.724	0.727	0	EUR	
17/07/2014 00:00	0.727	0.731	0.727	0.731	0	EUR	
18/07/2014 00:00	0.731	0.731	0.728	0.73	0	EUR	
21/07/2014 00:00	0.729	0.731	0.729	0.729	0	EUR	
22/07/2014 00:00	0.729	0.732	0.728	0.732	0	EUR	
23/07/2014 00:00	0.732	0.733	0.731	0.732	0	EUR	
24/07/2014 00:00	0.732	0.733	0.729	0.729	0	EUR	
25/07/2014 00:00	0.73	0.732	0.729	0.731	0	EUR	
28/07/2014 00:00	0.731	0.732	0.73	0.731	0	EUR	
29/07/2014 00:00	0.731	0.731	0.729	0.73	0	EUR	
30/07/2014 00:00	0.73	0.731	0.726	0.726	0	EUR	
31/07/2014 00:00	0.726	0.727	0.725	0.727	0	EUR	
01/08/2014 00:00	0.727	0.727	0.723	0.726	0	EUR	
04/08/2014 00:00	0.726	0.728	0.725	0.726	0	EUR	
05/08/2014 00:00	0.726	0.729	0.726	0.729	0	EUR	
06/08/2014 00:00	0.729	0.735	0.729	0.732	0	EUR	
07/08/2014 00:00	0.732	0.734	0.729	0.733	0	EUR	
