date	ouv	haut	bas	clot	vol	devise	
25/06/2019 00:00	0.581	0.585	0.58	0.584	0	EUR	
26/06/2019 00:00	0.583	0.589	0.583	0.587	0	EUR	
27/06/2019 00:00	0.587	0.59	0.587	0.589	0	EUR	
28/06/2019 00:00	0.587	0.591	0.588	0.59	0	EUR	
01/07/2019 00:00	0.59	0.592	0.59	0.591	0	EUR	
02/07/2019 00:00	0.591	0.592	0.589	0.591	0	EUR	
03/07/2019 00:00	0.591	0.595	0.591	0.594	0	EUR	
04/07/2019 00:00	0.594	0.595	0.592	0.593	0	EUR	
05/07/2019 00:00	0.593	0.593	0.589	0.59	0	EUR	
08/07/2019 00:00	0.59	0.593	0.59	0.591	0	EUR	
09/07/2019 00:00	0.591	0.591	0.589	0.59	0	EUR	
10/07/2019 00:00	0.59	0.591	0.588	0.591	0	EUR	
11/07/2019 00:00	0.591	0.593	0.59	0.592	0	EUR	
12/07/2019 00:00	0.592	0.594	0.592	0.593	0	EUR	
15/07/2019 00:00	0.593	0.597	0.593	0.597	0	EUR	
16/07/2019 00:00	0.596	0.599	0.596	0.598	0	EUR	
17/07/2019 00:00	0.598	0.601	0.597	0.599	0	EUR	
18/07/2019 00:00	0.6	0.602	0.599	0.601	0	EUR	
19/07/2019 00:00	0.602	0.604	0.601	0.602	0	EUR	
22/07/2019 00:00	0.602	0.605	0.602	0.603	0	EUR	
23/07/2019 00:00	0.603	0.603	0.601	0.601	0	EUR	
24/07/2019 00:00	0.601	0.603	0.6	0.601	0	EUR	
25/07/2019 00:00	0.601	0.603	0.597	0.598	0	EUR	
26/07/2019 00:00	0.598	0.598	0.595	0.595	0	EUR	
29/07/2019 00:00	0.595	0.597	0.594	0.595	0	EUR	
30/07/2019 00:00	0.595	0.596	0.592	0.593	0	EUR	
31/07/2019 00:00	0.593	0.593	0.591	0.592	0	EUR	
01/08/2019 00:00	0.592	0.595	0.591	0.592	0	EUR	
02/08/2019 00:00	0.592	0.592	0.587	0.588	0	EUR	
05/08/2019 00:00	0.588	0.588	0.581	0.582	0	EUR	
06/08/2019 00:00	0.581	0.587	0.58	0.583	0	EUR	
07/08/2019 00:00	0.583	0.585	0.569	0.575	0	EUR	
08/08/2019 00:00	0.575	0.58	0.574	0.578	0	EUR	
09/08/2019 00:00	0.579	0.581	0.572	0.572	0	EUR	
12/08/2019 00:00	0.572	0.579	0.572	0.575	0	EUR	
13/08/2019 00:00	0.575	0.579	0.572	0.577	0	EUR	
14/08/2019 00:00	0.578	0.579	0.574	0.578	0	EUR	
15/08/2019 00:00	0.577	0.581	0.576	0.58	0	EUR	
16/08/2019 00:00	0.58	0.582	0.579	0.579	0	EUR	
19/08/2019 00:00	0.579	0.58	0.577	0.578	0	EUR	
20/08/2019 00:00	0.579	0.58	0.577	0.578	0	EUR	
21/08/2019 00:00	0.578	0.579	0.576	0.577	0	EUR	
22/08/2019 00:00	0.577	0.578	0.574	0.575	0	EUR	
23/08/2019 00:00	0.575	0.578	0.57	0.57	0	EUR	
26/08/2019 00:00	0.57	0.576	0.57	0.576	0	EUR	
27/08/2019 00:00	0.576	0.576	0.572	0.574	0	EUR	
28/08/2019 00:00	0.574	0.574	0.571	0.572	0	EUR	
29/08/2019 00:00	0.572	0.573	0.569	0.571	0	EUR	
30/08/2019 00:00	0.571	0.576	0.569	0.573	0	EUR	
02/09/2019 00:00	0.573	0.576	0.572	0.575	0	EUR	
03/09/2019 00:00	0.575	0.578	0.573	0.577	0	EUR	
04/09/2019 00:00	0.577	0.579	0.576	0.576	0	EUR	
05/09/2019 00:00	0.576	0.579	0.576	0.578	0	EUR	
06/09/2019 00:00	0.576	0.584	0.575	0.575	0	EUR	
09/09/2019 00:00	0.575	0.584	0.575	0.582	0	EUR	
10/09/2019 00:00	0.582	0.583	0.58	0.582	0	EUR	
11/09/2019 00:00	0.581	0.584	0.58	0.582	0	EUR	
12/09/2019 00:00	0.582	0.588	0.578	0.579	0	EUR	
13/09/2019 00:00	0.582	0.579	0.572	0.572	0	EUR	
16/09/2019 00:00	0.572	0.578	0.572	0.577	0	EUR	
17/09/2019 00:00	0.577	0.577	0.573	0.574	0	EUR	
18/09/2019 00:00	0.574	0.575	0.572	0.573	0	EUR	
19/09/2019 00:00	0.573	0.574	0.57	0.571	0	EUR	
20/09/2019 00:00	0.573	0.574	0.568	0.568	0	EUR	
23/09/2019 00:00	0.568	0.573	0.568	0.572	0	EUR	
24/09/2019 00:00	0.573	0.575	0.572	0.574	0	EUR	
25/09/2019 00:00	0.574	0.577	0.572	0.573	0	EUR	
26/09/2019 00:00	0.573	0.578	0.572	0.577	0	EUR	
27/09/2019 00:00	0.576	0.577	0.574	0.577	0	EUR	
30/09/2019 00:00	0.577	0.577	0.571	0.574	0	EUR	
01/10/2019 00:00	0.574	0.575	0.57	0.571	0	EUR	
02/10/2019 00:00	0.571	0.573	0.57	0.572	0	EUR	
03/10/2019 00:00	0.572	0.575	0.571	0.574	0	EUR	
04/10/2019 00:00	0.574	0.577	0.574	0.576	0	EUR	
07/10/2019 00:00	0.576	0.576	0.572	0.573	0	EUR	
08/10/2019 00:00	0.573	0.576	0.573	0.575	0	EUR	
09/10/2019 00:00	0.575	0.576	0.573	0.573	0	EUR	
10/10/2019 00:00	0.573	0.575	0.572	0.574	0	EUR	
11/10/2019 00:00	0.574	0.576	0.573	0.574	0	EUR	
14/10/2019 00:00	0.574	0.574	0.569	0.571	0	EUR	
15/10/2019 00:00	0.572	0.573	0.569	0.573	0	EUR	
16/10/2019 00:00	0.572	0.572	0.565	0.568	0	EUR	
17/10/2019 00:00	0.568	0.571	0.567	0.57	0	EUR	
18/10/2019 00:00	0.571	0.573	0.57	0.571	0	EUR	
21/10/2019 00:00	0.571	0.575	0.571	0.574	0	EUR	
22/10/2019 00:00	0.574	0.577	0.574	0.576	0	EUR	
23/10/2019 00:00	0.576	0.577	0.574	0.577	0	EUR	
24/10/2019 00:00	0.577	0.577	0.574	0.575	0	EUR	
25/10/2019 00:00	0.575	0.575	0.572	0.573	0	EUR	
28/10/2019 00:00	0.573	0.574	0.571	0.572	0	EUR	
29/10/2019 00:00	0.572	0.574	0.571	0.572	0	EUR	
30/10/2019 00:00	0.572	0.575	0.571	0.574	0	EUR	
31/10/2019 00:00	0.572	0.577	0.572	0.575	0	EUR	
01/11/2019 00:00	0.575	0.578	0.574	0.574	0	EUR	
04/11/2019 00:00	0.574	0.579	0.574	0.575	0	EUR	
05/11/2019 00:00	0.574	0.578	0.574	0.576	0	EUR	
06/11/2019 00:00	0.576	0.576	0.574	0.575	0	EUR	
07/11/2019 00:00	0.575	0.577	0.574	0.576	0	EUR	
08/11/2019 00:00	0.576	0.578	0.573	0.574	0	EUR	
11/11/2019 00:00	0.574	0.578	0.574	0.576	0	EUR	
12/11/2019 00:00	0.577	0.577	0.574	0.575	0	EUR	
