date	ouv	haut	bas	clot	vol	devise	
25/06/2024 00:52	0.932	0.932	0.931	0.931	0	EUR	
25/06/2024 00:54	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 00:56	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 00:58	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:00	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:02	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:04	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:06	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:08	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:10	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:12	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:14	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:16	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:18	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:20	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:22	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:24	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:26	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:28	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:30	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:32	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:34	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:36	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:38	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:40	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:42	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:44	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:46	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:48	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:50	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:52	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:54	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:56	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 01:58	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:00	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:02	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:04	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:06	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:08	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:10	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:12	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:14	0.932	0.932	0.931	0.932	0	EUR	
25/06/2024 02:16	0.931	0.932	0.931	0.932	0	EUR	
25/06/2024 02:18	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:20	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:22	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:24	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:26	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:28	0.932	0.932	0.932	0.932	0	EUR	
25/06/2024 02:30	0.932	0.932	0.932	0.932	0	EUR	
